step,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
610,41,79,0,0,1,7,2,1,1
611,42,84,0,0,1,7,1,1,1
612,46,87,0,0,0,8,0,0,0
613,41,85,0,0,1,8,1,1,1
614,46,87,0,0,1,7,2,1,1
615,43,91,0,0,1,7,1,1,1
616,38,89,0,0,1,6,2,1,1
617,43,91,0,0,0,7,0,0,0
618,38,89,0,0,0,8,0,0,0
619,43,89,0,0,0,9,0,0,0
620,44,84,0,0,1,8,2,1,1
621,41,80,0,0,1,7,2,1,1
622,46,79,0,0,1,7,1,1,1
623,51,78,0,0,1,7,1,1,1
624,54,82,5,0,3,7,1,3,1
625,53,87,0,0,1,7,1,1,1
626,52,82,0,0,1,6,2,1,2
627,47,84,0,0,1,6,1,1,1
628,44,81,0,0,0,7,0,0,0
629,39,82,0,0,1,7,1,1,1
630,39,77,0,0,1,6,2,1,1
631,43,74,0,0,1,6,1,1,1
632,41,78,0,0,1,6,1,1,1
633,42,83,0,0,0,7,0,0,0
634,37,81,0,0,1,6,2,1,1
635,41,78,0,0,0,7,0,0,0
636,37,80,0,0,1,7,1,1,1
637,35,84,0,0,1,7,1,1,1
638,35,79,0,0,1,7,1,1,1
639,38,83,0,0,0,8,0,0,0
640,39,88,0,0,1,8,1,1,1
641,44,88,0,0,1,7,2,1,1
642,47,84,0,0,1,7,1,1,1
643,43,81,0,0,1,6,2,1,1
644,39,80,0,0,2,6,1,2,1
645,42,83,0,0,1,6,1,1,1
646,45,79,0,0,1,6,1,1,1
647,41,81,0,0,1,6,1,1,1
648,38,77,0,0,1,6,1,1,1
649,34,80,0,0,0,7,0,0,0
650,35,75,0,0,1,7,1,1,1
651,38,79,0,0,1,7,1,1,1
652,42,81,0,0,1,7,1,1,1
653,47,79,0,0,0,8,0,0,0
654,47,84,0,0,1,8,1,1,1
655,48,79,0,0,1,8,1,1,1
656,48,74,0,0,1,8,1,1,1
657,43,74,0,0,1,8,1,1,1
658,46,79,0,0,1,8,1,1,1
659,43,75,0,0,1,7,2,1,1
660,44,70,0,0,1,7,1,1,1
661,40,74,0,0,0,7,0,0,0
662,41,78,0,0,1,6,1,1,1
663,44,74,0,0,1,6,1,1,1
664,47,78,0,0,1,6,1,1,1
665,42,77,0,0,0,7,0,0,0
666,45,81,0,0,1,7,1,1,1
667,48,77,0,0,0,8,0,0,0
668,43,76,0,0,1,8,1,1,1
669,48,76,0,0,1,8,1,1,1
670,44,77,0,0,1,8,1,1,1
671,48,76,0,0,1,8,1,1,1
672,48,81,0,0,1,6,2,1,1
673,43,83,0,0,1,6,1,1,1
674,40,79,0,0,1,6,1,1,1
675,38,84,0,0,0,7,0,0,0
676,38,89,0,0,1,7,1,1,1
677,34,86,0,0,1,7,1,1,1
678,31,82,0,0,1,7,1,1,1
679,36,81,0,0,1,7,1,1,1
680,33,77,0,0,1,7,1,1,1
681,37,75,0,0,2,7,1,2,1
682,33,73,0,0,1,7,1,1,1
683,29,76,0,0,2,7,1,2,1
684,28,71,0,0,0,8,0,0,0
685,26,75,0,0,1,8,1,1,1
686,29,79,0,0,1,8,1,1,1
687,32,83,0,0,1,8,1,1,1
688,31,88,0,0,1,8,1,1,1
689,26,87,0,0,1,8,1,1,1
