bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
337,93,70,0,0,1,4,1,1,1
338,98,68,0,0,1,4,1,1,1
339,93,68,0,0,1,4,1,1,1
340,89,64,0,0,1,4,1,1,1
341,94,62,0,0,1,4,1,1,1
342,91,58,0,0,1,4,1,1,1
343,94,62,0,0,1,4,1,1,1
344,91,58,0,0,1,4,1,1,1
345,93,54,0,0,1,4,1,1,1
346,89,57,0,0,1,4,1,1,1
347,85,60,0,0,1,4,1,1,1
348,82,64,0,0,1,4,1,1,1
349,77,63,0,0,1,4,1,1,1
350,78,58,0,0,1,4,1,1,1
351,73,59,0,0,1,4,1,1,1
352,77,56,0,0,1,4,1,1,1
353,80,52,0,0,1,4,1,1,1
354,82,48,0,0,1,4,1,1,1
355,78,50,0,0,1,4,1,1,1
356,76,45,0,0,1,4,1,1,1
357,76,41,0,0,1,4,1,1,1
358,71,41,0,0,1,4,1,1,1
359,75,39,0,0,1,4,1,1,1
360,71,36,0,0,1,4,1,1,1
361,66,38,0,0,1,4,1,1,1
362,67,43,0,0,1,4,1,1,1
363,70,46,0,0,1,4,1,1,1
364,72,42,0,0,1,4,1,1,1
365,77,41,0,0,1,4,1,1,1
366,80,37,0,0,1,4,1,1,1
367,75,37,0,0,1,4,1,1,1
368,70,37,0,0,1,4,1,1,1
369,66,39,0,0,1,4,1,1,1
370,67,44,0,0,1,4,1,1,1
371,65,48,0,0,1,4,1,1,1
372,66,53,0,0,1,4,1,1,1
373,61,55,0,0,1,4,1,1,1
374,62,60,0,0,1,4,1,1,1
375,57,58,0,0,1,4,1,1,1
376,53,60,0,0,1,4,1,1,1
377,57,61,0,0,1,4,1,1,1
378,54,65,0,0,1,4,1,1,1
379,55,60,0,0,1,4,1,1,1
380,57,65,0,0,1,4,1,1,1
381,54,61,0,0,1,4,1,1,1
382,49,61,0,0,1,4,1,1,1
383,45,58,0,0,1,4,1,1,1
384,50,59,0,0,1,4,1,1,1
385,54,62,0,0,1,4,1,1,1
386,49,62,0,0,1,4,1,1,1
387,44,63,0,0,1,4,1,1,1
388,48,60,0,0,1,4,1,1,1
389,44,63,0,0,1,4,1,1,1
390,45,58,0,0,1,4,1,1,1
391,50,56,0,0,1,4,1,1,1
392,53,60,0,0,1,4,1,1,1
393,49,58,0,0,1,4,1,1,1
394,52,61,0,0,1,4,1,1,1
395,57,63,0,0,1,4,1,1,1
396,53,60,0,0,1,4,1,1,1
397,55,64,0,0,1,4,1,1,1
398,54,69,0,0,1,4,1,1,1
399,49,70,0,0,1,4,1,1,1
400,47,74,0,0,1,4,1,1,1
401,51,77,0,0,1,4,1,1,1
402,51,72,0,0,1,4,1,1,1
403,56,74,0,0,1,4,1,1,1
404,54,78,0,0,1,4,1,1,1
405,49,78,0,0,1,4,1,1,1
406,46,82,0,0,1,4,1,1,1
407,46,77,0,0,1,4,1,1,1
408,41,78,0,0,1,4,1,1,1
409,46,75,0,0,1,4,1,1,1
410,43,79,0,0,1,4,1,1,1
411,43,74,0,0,1,4,1,1,1
412,47,71,0,0,1,4,1,1,1
413,51,74,0,0,1,4,1,1,1
